"","Character_Name","Description","Notes","Killed_By","Killed"
"22","Vincent Crabbe","Slytherin student in Harry's year and the son of a Death Eater","Slytherin Quidditch Beater and member of the Inquisitorial Squad. Killed by his own Fiendfyre spell. Jamie Waylett portrayed Crabbe in the first six films; due to Waylett's legal troubles, Crabbe was played by Blaise Zabini in the last film of the series.[5][6]","Vincent Crabbe",1
"23","Colin Creevey","Muggle-born Gryffindor student one year below Harry","Older brother of Dennis Creevey, and member of Dumbledore's Army. Killed during the Battle of Hogwarts.","General Death",1
"24","Dennis Creevey","Muggle-born Gryffindor student three years below Harry","Younger brother of Colin Creevey, and member of Dumbledore's Army.",NA,0
"25","Dirk Cresswell","Muggle-born Head of the Goblin Liaison Office, went on the run with fellow Muggle-borns Ted Tonks, Dean Thomas and goblins Gornuk and Griphook, during which he is killed","","General Death",1
"26","Barty Crouch Sr","Head of the Department of International Magical Cooperation","Killed by his son Barty Crouch Jr.","Barty Crouch Jr",1
"27","Barty Crouch Jr","Death Eater credited with facilitating the return of Lord Voldemort","Used Polyjuice Potion to impersonate Alastor Moody, and received a Dementor's Kiss.D",NA,0
"28","John Dawlish","an Auror","",NA,0
"29","Fleur Delacour","Participant in the Triwizard Tournament as a representative of wizarding school Beauxbatons","Later married Bill Weasley.",NA,0
"30","Gabrielle Delacour","Fleur's younger sister","Rescued by Harry during the Triwizard Tournament.",NA,0
"31","Dedalus Diggle","Member of the Order of the Phoenix who took the Dursleys into hiding","",NA,0
"32","Amos Diggory","Cedric Diggory's father","Employee of the Department for the Regulation and Control of Magical Creatures.",NA,0
"33","Cedric Diggory","Hufflepuff student and prefect two years above Harry","Quidditch Seeker and captain, and co-winner of the Triwizard Tournament. Killed by Peter Pettigrew on Lord Voldemort's command.","Peter Pettigrew",1
"34","Armando Dippet","Dumbledor's predecessor as headmaster of Hogwarts, during which time Tom Riddle first opened the Chamber of Secrets","Expelled Rubeus Hagrid, who was framed by Riddle.",NA,0
"35","Elphias Doge","A school friend of Albus Dumbledore","",NA,0
"36","Antonin Dolohov","Death Eater who killed Fabian Prewett, Gideon Prewett, and Remus Lupin","","General Death",1
"37","Aberforth Dumbledore","Brother of Albus and Ariana Dumbledore","Owner of the Hog's Head tavern.",NA,0
"38","Albus Dumbledore","Transfiguration professor in Tom Riddle's time, and Hogwarts headmaster in Harry Potter's time","Founder of the Order of the Phoenix. Killed by Severus Snape on Dumbledore's request.","Severus Snape",1
"39","Ariana Dumbledore","Sister of Albus and Aberforth Dumbledore, killed in a three-way duel between her brothers and Gellert Grindelwald","","General Death",1
"40","Kendra Dumbledore","Wife of Percival Dumbledore","Mother of Albus, Aberforth, and Ariana Dumbledore.",NA,0
"41","Percival Dumbledore","Husband of Kendra Dumbledore, father of Albus, Aberforth, and Ariana Dumbledore","",NA,0
"42","Dudley Dursley","Muggle son of Vernon Dursley and Petunia Evans, first cousin of Harry Potter","Rowling revealed on her website that many people have asked her to include an adult Dudley with a wizarding child in the epilogue of Deathly Hallows, and that she herself considered it, but decided upon reflection that any ""latent wizarding genes would never survive contact with Uncle Vernon's DNA"" and thus she did not do so. Rowling says that Harry and Dudley would ""stay on Christmas card"" terms for the rest of their lives,[7] and that Harry would take his family to visit Dudley's when they were in the neighbourhood, but it was something that James Sirius, Albus Severus and Lily Luna ""would dread"".[8] However, Dudley's kids and Harry's occasionally would ""get together while the adults sat in awkward silence"". In Harry Potter and the Cursed Child it is also mentioned that adult Dudley sent Harry his baby blanket, one of the two surviving possession of Harry's from his parents. Dudley is portrayed by Harry Melling in the Harry Potter films. Melling had to wear a fat suit, as he lost a considerable amount of weight as the films progressed.[9]",NA,0
"43","Marge Dursley","Muggle sister of Vernon Dursley","Pam Ferris played Marge in the film adaptation of Harry Potter and the Prisoner of Azkaban, in which she floats out of the house and into the sky after Harry inflates her.",NA,0
"44","Petunia Dursley","Harry's aunt, and his mother Lily's sister","Vernon's wife and Dudley's mother. In the film version of Harry Potter and the Deathly Hallows – Part 1, she leaves Harry without showing any sentiment; however, in a deleted scene on the Blu-ray/DVD release, Petunia shows acknowledgment of the wizarding world, and ultimately deep sadness and remorse for the loss of her younger sister Lily, reminding Harry that she lost a sister as well.[10] Actress Fiona Shaw portrays Petunia in the films, with Ariella Paradise playing her as a child.",NA,0
"45","Vernon Dursley","Harry Potter's Muggle uncle","Petunia's husband and Dudley's father. Vernon is portrayed by Richard Griffiths in the films.E",NA,0
"46","Marietta Edgecombe","Ravenclaw student one year above Harry","Member of Dumbledore's Army who later betrays the group to Dolores Umbridge.F",NA,0
"47","Arabella Figg","Squib neighbour of the Dursleys","Member of the Order of the Phoenix.",NA,0
"48","Argus Filch","Squib caretaker of Hogwarts","",NA,0
"49","Justin Finch-Fletchley","Muggle-born Hufflepuff student in Harry's year","Member of Dumbledore's Army.",NA,0
"50","Seamus Finnigan","Gryffindor student in Harry's year","Member of Dumbledore's Army.",NA,0
"51","Nicolas Flamel","Creator and owner of the Philosopher's Stone","",NA,0
"52","Mundungus Fletcher","Common thief and shifty Order of the Phoenix member","",NA,0
"53","Filius Flitwick","Head of Ravenclaw House and Charms professor at Hogwarts","",NA,0
"54","Cornelius Fudge","Minister for Magic in the first five books","Sacked after persistently denying Lord Voldemort's return.G",NA,0
"55","Marvolo Gaunt","The pure-blood father of Merope and Morfin Gaunt, and grandfather of Tom Marvolo Riddle","",NA,0
"56","Merope Gaunt","Tom Riddle's mother who died in childbirth","",NA,0
"57","Morfin Gaunt","Marvolo's son and Merope's brother","Framed by his nephew Tom Riddle for Muggle killings, and died in Azkaban.",NA,0
"58","Anthony Goldstein","Ravenclaw student in Harry's year","Member of Dumbledore's Army.",NA,0
"59","Goyle","Death Eater and father of Gregory Goyle","",NA,0
"60","Gregory Goyle","Slytherin student in Harry's year","Slytherin Quidditch Beater and member of the Inquisitorial Squad. Joshua Herdman played Goyle.",NA,0
"61","Hermione Granger","Muggle-born Gryffindor student in Harry's year and one of his best friends","Prefect and co-founder of Dumbledore's Army.",NA,0
"62","Mr. and Mrs. Granger","Hermione Granger's parents","During the Second Wizarding War, Hermione alters their memories, causing them to believe that they are called Wendell and Monica Wilkins, a childless couple who is moving to Australia, to protect them from Voldemort. After the War, she restores their true memories.[11]",NA,0
"63","Astoria Greengrass","Draco Malfoy's wife","She died in 2019 due to her blood curse.[12] She is three years younger than Draco, and the younger sister of one of Draco's classmates from Slytherin. She is played by Jade Gordon in Harry Potter and the Deathly Hallows – Part 2.",NA,0
"64","Gregorovitch","highly regarded Eastern European wandmaker","",NA,0
"65","Fenrir Greyback","Werewolf working for the Death Eaters","",NA,0
"66","Gellert Grindelwald (/ˈɡrɪndəlˌvɔːld, -ˌwɔːld/)","Dark wizard who was jailed after Albus Dumbledore defeated him in the 1940s","Rowling claimed at a Q&A session that she implied Dumbledore being once in love with Grindelwald, and thus he had 'lost his moral compass,' but she did not say whether those feelings were returned.[13][14] In Harry Potter and the Deathly Hallows – Part 1, young Grindelwald is portrayed by Jamie Campbell Bower[15] while the older Grindelwald is played by Michael Byrne. Grindelwald appears in the Fantastic Beasts film series, portrayed by Johnny Depp in the first two films.[16] In the film series storyline, Grindelwald and Dumbledore have made a blood pact in their youth to never harm each other which Grindelwald sports in a vial while seeking a means to indirectly kill his former lover. He first appears in Fantastic Beasts and Where to Find Them, though he is disguised for most of the story as the American Auror Percival Graves, played by Colin Farrell, while seeking out an Obscurus whom he learned to be Credence Barebone. In Fantastic Beasts: The Crimes of Grindelwald, Grindelwald manages to manipulate both Credence and Queenie Goldstein to his side by promising the former he will tell him who he really is (supposedly Aurelius Dumbledore, a long lost brother to Albus and Aberforth) and the latter that she will be free to marry her No-Maj fiancé, Jacob Kowalski. Campbell Bower reprises his role as the teenaged version of the character in a brief flashback scene as well. In November 2020, Depp resigned from the role at the request of Warner Bros. due to his personal legal troubles.[17] Later that month, it was reported that Mads Mikkelsen was in early talks to replace Depp as Grindelwald for the third film.[18] On 25 November 2020, Warner Bros. officially announced that Mikkelsen would replace Depp.[19] On replacing Depp, Mikkelsen noted that it would be a ""creative suicide"" to copy Depp's ""masterful"" portrayal as Grindelwald, having developed his own take on the character, and admitted that a ""bridge"" should be needed between Depp's performance and his own,[20] having been a fan of Depp since his early films.[21]",NA,0
"67","Wilhelmina Grubbly-Plank","Substitute Care of Magical Creatures professor during Harry's fourth and fifth years","",NA,0
"68","Godric Gryffindor","One of the four founders of Hogwarts","He was a very powerful wizard.H",NA,0
"69","Rubeus Hagrid","Half-giant Hogwarts gamekeeper, and Care of Magical Creatures professor starting in Harry's third year","Member of the Order of the Phoenix. As a Hogwarts student, he was expelled in his third year.",NA,0
"70","Rolanda Hooch","Hogwarts flying instructor and Quidditch referee","",NA,0
"71","Mafalda Hopkirk","Witch who works in the Ministry of Magic","Impersonated by Hermione Granger.",NA,0
"72","Angelina Johnson","Gryffindor student two years above Harry","Quidditch Chaser and later team captain.",NA,0
"73","Lee Jordan","Gryffindor student two years above Harry","Hogwarts Quidditch commentator and good friend of Fred and George Weasley.",NA,0
"74","Bertha Jorkins","Ministry of Magic employee that worked under the Department of Magical Games and Sports","Killed by Voldemort in order to create Nagini as the last horcrux.K","Lord Voldemort",1
"75","Igor Karkaroff","Reformed Death Eater","Headmaster of wizarding school Durmstrang.",NA,0
"76","Viktor Krum","Bulgarian Quidditch Seeker and Durmstrang student who participated in the Triwizard Tournament","Stanislav Ianevski portrayed Krum in the film adaptation of Goblet of Fire.",NA,0
"77","Silvanus Kettleburn","Care of Magical Creatures teacher until Harry's third year","L",NA,0
"78","Bellatrix Lestrange","Cousin of Sirius Black","Death Eater who tortured Neville Longbottom's parents Frank and Alice into insanity. Killed by Molly Weasley during the Battle of Hogwarts.","Molly Weasley",1
"79","Gilderoy Lockhart","Fraudulent celebrity author and Defence Against the Dark Arts teacher","Lost his memory after a memory charm backfired and resided in St. Mungo's afterwards.",NA,0
"80","Alice and Frank Longbottom","Neville Longbottom's parents","Aurors and members of the original Order of the Phoenix. Tortured into insanity by Bellatrix Lestrange.",NA,0
"81","Augusta Longbottom","Frank's mother and Neville's grandmother, who raises him after his parents are incapacitated","Augusta is portrayed by Leila Hoffman in the first film, appearing only in the background escorting Neville to the Hogwarts Express.",NA,0
"82","Neville Longbottom","Gryffindor student in Harry's year","Member of Dumbledore's Army.",NA,0
"83","Luna Lovegood","Xenophilius Lovegood's daughter and Ravenclaw student one year below Harry","Member of Dumbledore's Army and wife of Newt Scamander's grandson Rolf.",NA,0
"84","Xenophilius Lovegood","Luna's father","Editor of tabloid magazine The Quibbler. In Greek, his name means ""one who likes that which is strange"" (xeno meaning ""strange"" and philo meaning ""liking"" or ""fondness"").[22] Welsh actor and singer Rhys Ifans portrays Xenophilius in the film adaptation of Harry Potter and the Deathly Hallows – Part 1.",NA,0
"85","Remus Lupin","Lycanthropic Gryffindor student before Harry's time who befriended Sirius Black and James Potter","Professor of Defence Against the Dark Arts in Harry's third year, and member of the Order of the Phoenix. He and his wife Nymphadora Tonks gave birth to a son, Teddy, before dying in the Battle of Hogwarts.","Antonin Dolohov",1
"86","Teddy Lupin","orphaned only son of Remus Lupin and Nymphadora Tonks and godson of Harry Potter","He is named after Tonks' late father, Ted Tonks, and his own father, Remus. Teddy is a Metamorphmagus like his mother Nymphadora, and is not affected by his father's lycanthropy.[23][24] He is mentioned in the final chapter of Harry Potter and the Deathly Hallows by Harry, who says that Teddy ""comes round to dinner about four times a week"".M",NA,0
"87","Walden Macnair","Death Eater and Committee of Disposal of Dangerous Creatures' executioner","Injured badly by Hagrid during the Battle of Hogwarts.",NA,0
"88","Draco Malfoy","Slytherin student in Harry's year","Quidditch Seeker, prefect, and member of the Inquisitorial Squad.",NA,0
"89","Lucius Malfoy","Draco's father and an influential Death Eater","Governor of Hogwarts early in the series.",NA,0
"90","Narcissa Malfoy","Lucius' wife and Draco's mother","Sister of Bellatrix Lestrange and Andromeda Tonks. Narcissa is portrayed by Helen McCrory in the film series. McCrory was initially cast as Bellatrix Lestrange, but withdrew due to pregnancy; the role of Bellatrix went to Helena Bonham Carter.",NA,0
"91","Scorpius Malfoy","Son of Draco Malfoy and Astoria Greengrass","Sorted into Slytherin. Friends with Albus Potter. He is a kind-hearted boy who likes sweets and does not discriminate against non-pure-blood wizards.[12]",NA,0
"92","Madam Malkin","Clothing shop owner in Diagon Alley","",NA,0
"93","Griselda Marchbanks","Governor of the Wizarding Examinations Authority which ran the O","W.L, N.E.W.T., and W.O.M.B.A.T. exams. Wizengamot elder.",NA,0
"94","Olympe Maxime","Half-giantess","Headmistress of Beauxbatons. Frances de la Tour appeared as Madame Maxime in Goblet of Fire, and reprised the role in Deathly Hallows.[25]",NA,0
"95","Ernie Macmillan","Hufflepuff student in Harry's year","Prefect and member of Dumbledore's Army.",NA,0
"96","Minerva McGonagall","Hogwarts Transfiguration professor, Head of Gryffindor House, Deputy Headmistress of Hogwarts, and member of the Order of the Phoenix","Assumes position of Hogwarts Headmaster for a time after Voldemort's death.",NA,0
"97","Eloise Midgen","Gryffindor student that accidentally removed her nose trying to get rid of her acne","Known for her bad case of acne.",NA,0
"98","Cormac McLaggen","Gryffindor student one year above Harry Potter","Quidditch Keeper and member of Horace Slughorn's Slug Club. Freddie Stroma played McLaggen in Harry Potter and the Half-Blood Prince, Harry Potter and the Deathly Hallows – Part 1 and Part 2.",NA,0
"99","Graham Montague","Slytherin Quidditch Chaser who became trapped inside a Vanishing Cabinet for a day","",NA,0
"100","Alastor ""Mad-Eye"" Moody","Retired Auror and member of the Order of the Phoenix","Impersonated by Barty Crouch Jr. in his scheme to enter Harry into the Triwizard Tournament. Killed by Voldemort.N","Lord Voldemort",1
"101","Theodore Nott","Slytherin student in the same year as Harry Potter, and son of a Death Eater","",NA,0
"102","Nott Sr","Theodore Nott's father","Death Eater.O",NA,0
"103","Bob Ogden","Leader of the Department of Magical Law Enforcement Squad in the 1920s","Turned the Gaunt family over to the Wizengamot for using magic in front of a Muggle. Died before Harry Potter's sixth year.",NA,0
"104","Garrick Ollivander","Wandmaker and owner of the Ollivanders wand shop","Kidnapped by the Malfoy family for several months until freed by Harry, Ron, and Hermione. British actor John Hurt appeared as Ollivander in the film adaptation of Harry Potter and the Philosopher's Stone and reprised his role in Harry Potter and the Deathly Hallows – Part 1 and Part 2. His first name was revealed in Pottermore. It was also revealed that he is married and has a son and a daughter (the latter deceased). Some of the names of his wandmaker ancestors were also revealed: Geraint Ollivander (ancestor), Gerbold Octavius Ollivander (paternal grandfather), Gervaise Ollivander (father).P",NA,0
"105","Pansy Parkinson","Slytherin student in Harry's year","Prefect and member of the Inquisitorial Squad. Rowling said the character was based on real-life girls who teased her during her school days.[26]",NA,0
"106","Padma Patil","Ravenclaw student in Harry's year","Identical twin sister of Gryffindor student Parvati Patil, and a member of Dumbledore's Army.",NA,0
"107","Parvati Patil","Gryffindor student in Harry's year and Padma's identical twin sister","Member of Dumbledore's Army.",NA,0
"108","Peter Pettigrew","Death Eater and former school friend of James Potter, Sirius Black and Remus Lupin","Betrays Harry's parents James and Lily Potter to Voldemort, resulting in their deaths. Pettigrew is first introduced in the series as Ron Weasley's pet rat Scabbers. He is strangled to death by his own metal prosthetic hand after his loyalty towards Voldemort wavers upon Harry confronting him about having previously spared Pettigrew's life.",NA,0
"109","Antioch, Cadmus, and Ignotus Peverell","Three brothers who were the original owners of the Elder Wand, the Resurrection Stone, and the Invisibility Cloak, respectively","",NA,0
"110","Irma Pince","Hogwarts librarian","",NA,0
"111","Sturgis Podmore","Member of the Order of the Phoenix","",NA,0
"112","Poppy Pomfrey","Hogwarts school nurse","",NA,0
"113","Harry Potter","The main character of the series","Orphaned son of James and Lily Potter. Gryffindor student at Hogwarts, and co-founder and first leader of Dumbledore's Army. The husband of Ginny Weasley, father of James Sirius, Albus Severus and Lily Luna Potter.",NA,0
"114","James Potter","Harry Potter's father and member of the Order of the Phoenix","Killed along with his wife Lily by Lord Voldemort prior to the start of the series.","Lord Voldemort",1
"115","Lily Potter","Harry Potter's mother and member of the Order of the Phoenix","Killed by Lord Voldemort.","Lord Voldemort",1
"116","Albus Severus Potter","Second child of Harry Potter and Ginny Weasley","",NA,0
"117","James Sirius Potter","Harry and Ginny's first child","",NA,0
"118","Lily Luna Potter","Harry and Ginny's third child","Her name honours two women important to her parents—her paternal grandmother Lily Potter, and her parents' friend Luna Lovegood.[27] Lily is portrayed by Daphne de Beistegui in Harry Potter and the Deathly Hallows – Part 2.",NA,0
"119","Quirinus Quirrell","Defence Against the Dark Arts professor in Harry Potter's first year","Possessed by Lord Voldemort.R",NA,0
"120","Helena Ravenclaw/The Grey Lady","Daughter of house founder Rowena Ravenclaw","Stole and hid her mother's diadem, and became Ravenclaw's house ghost after being killed by the Bloody Baron.","Bloody Baron",1
"121","Rowena Ravenclaw","One of the four founders of Hogwarts School of Witchcraft and Wizardry, and founder of the Ravenclaw house","",NA,0
"122","Delphi Riddle","The main antagonist of Harry Potter and the Cursed Child and daughter of Voldemort and Bellatrix Lestrange who tries to bring Voldemort back to life by completing a prophecy","Currently imprisoned in Azkaban.",NA,0
"123","Mary Riddle","Muggle wife of Thomas Riddle, mother of Tom Riddle Sr","and grandmother of Tom Marvolo Riddle/Lord Voldemort. Killed by her grandson, Lord Voldemort.","Lord Voldemort",1
"124","Thomas Riddle","Muggle husband of Mary Riddle, father of Tom Riddle Sr","and grandfather of Tom Marvolo Riddle/Lord Voldemort. Killed by his grandson Lord Voldemort.","Lord Voldemort",1
"125","Tom Riddle Sr.","Muggle son of Thomas and Mary Riddle, husband of Merope Gaunt and father of Tom Marvolo Riddle/Lord Voldemort Killed by his son, Lord Voldemort","","Lord Voldemort",1
"126","Tom Marvolo Riddle","Slytherin student who became Lord Voldemort","",NA,0
"127","Demelza Robins","Gryffindor student and Quidditch Chaser","",NA,0
"128","Augustus Rookwood","Death Eater and spy working in the Department of Mysteries","",NA,0
"129","Thorfinn Rowle","Death Eater","",NA,0
"130","Albert Runcorn","Ministry of Magic employee whose chief function was as an investigator of alleged Muggle-borns","S",NA,0
"131","Newt Scamander","Magizoologist and author of Fantastic Beasts and Where to Find Them","Main character in the Fantastic Beasts film series. Expelled Hogwarts student who excels in curing different sicknesses.",NA,0
"132","Rufus Scrimgeour","Head of the Auror Office who replaces Cornelius Fudge as Minister for Magic","Killed by Death Eaters.","Death Eaters",1
"133","Kingsley Shacklebolt","Auror and member of the Order of the Phoenix","Replaces Pius Thicknesse as Minister for Magic.",NA,0
"134","Stan Shunpike","Conductor of the triple-decker Knight Bus","Jailed in Azkaban on suspicions of being a Death Eater. Stan was portrayed by Lee Ingleby in the film adaptation of Prisoner of Azkaban.",NA,0
"135","Aurora Sinistra","Astronomy professor at Hogwarts","",NA,0
"136","Rita Skeeter","Reporter and tabloid journalist for the Daily Prophet","It has been speculated that the fraught relationship between Rowling and the press was the inspiration for the author to develop the character. However, Rowling noted in 2000 that the character actually predates her rise to fame.[28] Rita was intended to be in Philosopher's Stone, as Rowling revealed in an interview: ""you know when Harry walks into the Leaky Cauldron for the first time and everyone says, ""Mr. Potter you're back!"", I wanted to put a journalist in there. She wasn't called Rita then but she was a woman. And then I thought, as I looked at the plot overall, I thought, that's not really where she fits best, she fits best in Four when Harry's supposed to come to terms with his fame"".[29]Miranda Richardson appeared as Rita in the film adaptation of Goblet of Fire as well as in Deathly Hallows.[30]",NA,0
"137","Horace Slughorn","Former Hogwarts Potions professor and Head of Slytherin House, whose charges included Tom Riddle","Returned to Hogwarts to teach Potions in Harry's sixth year.",NA,0
"138","Salazar Slytherin","One of the four founders of Hogwarts School of Witchcraft and Wizardry, and founder of the Slytherin house","",NA,0
"139","Zacharias Smith","Hufflepuff Quidditch Chaser in Harry's year","Member of Dumbledore's Army.",NA,0
"140","Severus Snape","Potions and later Defence Against the Dark Arts professor at Hogwarts","Head of Slytherin House, and member of both the Death Eaters and the Order of the Phoenix as a double agent spying for Dumbledore.",NA,0
"141","Alicia Spinnet","Gryffindor student two years above Harry","Quidditch Chaser and member of Dumbledore's Army.",NA,0
"142","Pomona Sprout","Hogwarts Herbology professor and Head of Hufflepuff House","T",NA,0
"143","Pius Thicknesse","Minister for Magic while under the Imperius Curse","Replaced by Kingsley Shacklebolt.",NA,0
"144","Dean Thomas","Gryffindor student in Harry's year","Member of Dumbledore's Army.",NA,0
"145","Andromeda Tonks","Sister of Bellatrix Lestrange and Narcissa Malfoy, and the mother of Nymphadora Tonks","Disowned by her family for marrying Muggle-born Ted Tonks.",NA,0
"146","Nymphadora Tonks","Ted and Andromeda's daughter","Auror and member of the Order of the Phoenix. She marries Remus Lupin and becomes the mother of a son, Teddy, before she and Remus are killed in the Battle of Hogwarts.","General Death",1
"147","Ted Tonks","Andromeda's Muggle-born husband, and the father of Nymphadora Tonks","Killed by Snatchers.","Snatchers",1
"148","Sybill Trelawney","Hogwarts Divination professor","Predicted the prophecy that prompted Lord Voldemort to go after the Potters.",NA,0
"149","Wilkie Twycross","Hogwarts Apparition instructor who works in the Department of Magical Transportation","U",NA,0
"150","Dolores Umbridge","Senior Undersecretary to the Minister for Magic, Hogwarts High Inquisitor and temporary Headmistress of Hogwarts","She becomes Defence Against the Dark Arts professor in Harry Potter's fifth year, and joins in the persecution of half-bloods and Muggle-borns under Voldemort. Sentenced to life imprisonment in Azkaban.V",NA,0
"151","Emmeline Vance","Member of the Order of the Phoenix","Killed by Death Eaters.","Death Eaters",1
"152","Romilda Vane","Gryffindor student who unsuccessfully tries to romance Harry","",NA,0
"153","Septima Vector","Arithmancy professor at Hogwarts","",NA,0
"154","Lord Voldemort (Tom Marvolo Riddle)","The villain of the series","Murderer of Harry Potter's parents and many others in his quest for immortality and absolute power.W",NA,0
"155","Myrtle Warren/Moaning Myrtle[31]","Muggle-born Ravenclaw student during Tom Riddle's time at Hogwarts","Killed by the Basilisk in a girls' bathroom, which she continued to haunt after her death. Tom Riddle used her death to create his first Horcrux: his diary.[4] Rowling revealed on her website that Myrtle was in Ravenclaw House[32] and that her full name was Myrtle Elizabeth Warren.[33] She added that the inspiration for the character was ""the frequent presence of a crying girl in communal bathrooms, especially at the parties and discos of my youth.""[34]Shirley Henderson plays Myrtle in the film versions of Chamber of Secrets and Goblet of Fire. The character was omitted from Half-Blood Prince.","Basilisk",1
"156","Arthur Weasley","Muggle-obsessed Ministry of Magic employee, and member of the Order of the Phoenix","Husband of Molly Weasley, father of Bill, Charlie, Percy, Fred, George, Ron, and Ginny Weasley.",NA,0
"157","Bill Weasley","Oldest son of Arthur and Molly Weasley, and Gringotts employee","Marries Fleur Delacour.",NA,0
"158","Charlie Weasley","Second son of Arthur and Molly Weasley","Member of the Order of the Phoenix. Works with dragons in Romania.",NA,0
"159","Fred Weasley","Son of Arthur and Molly Weasley and identical twin brother of George Weasley","Gryffindor Quidditch Beater and member of Dumbledore's Army, later co-owner of joke shop Weasleys' Wizard Wheezes. Killed in the Battle of Hogwarts.","General Death",1
"160","George Weasley","Son of Arthur and Molly Weasley and identical twin brother of Fred Weasley","Gryffindor Quidditch Beater and member of Dumbledore's Army. Co-owner of Weasleys' Wizard Wheezes. Marries Angelina Johnson.",NA,0
"161","Ginny Weasley","Only daughter and youngest child of Arthur and Molly Weasley","Gryffindor student one year below Harry, Quidditch Seeker and Chaser, and member of Dumbledore's Army. Married to Harry Potter.",NA,0
"162","Hugo Granger-Weasley– Son of Ron Weasley and Hermione Granger, brother of Rose Weasley. Hugo is portrayed by Ryan Turner in Deathly Hallows","Part 2","",NA,0
"163","Molly Weasley","Wife of Arthur Weasley and mother of Bill, Charlie, Percy, Fred, George, Ron, and Ginny","Member of the Order of the Phoenix.",NA,0
"164","Percy Weasley","Third son of Arthur and Molly Weasley","Gryffindor prefect and Head Boy, then Ministry of Magic employee, during which he becomes estranged from his family before joining them in fighting the Death Eaters in the Battle of Hogwarts.",NA,0
"165","Ron Weasley","Youngest son of Arthur and Molly Weasley who is best friends with Harry Potter and Hermione Granger","Gryffindor Quidditch Keeper, prefect, and co-founder of Dumbledore's Army.",NA,0
"166","Oliver Wood","Gryffindor Quidditch Keeper and captain four years above Harry","Oliver Wood was portrayed by Sean Biggerstaff in the first two films and once again in the eighth film.",NA,0
"167","Rose Granger-Weasley","Daughter of Ron Weasley and Hermione Granger","Sister of Hugo Weasley. Rose is portrayed by Helena Barlow in Harry Potter and the Deathly Hallows – Part 2. She also featured in Harry Potter and the Cursed Child; she has been played in the West End production by Cherrelle Skeete and Helen Aluko.Y",NA,0
"168","Corban Yaxley","Death Eater","Head of Magical Law Enforcement under Voldemort's regime.Z",NA,0
"169","Blaise Zabini","Slytherin student in Harry's year","Characters with no or unknown surname",NA,0
"170","Aragog","Giant spider raised by Rubeus Hagrid and lived in the Forbidden Forest","B",NA,0
"171","Bane","Centaur, not very wizard-friendly","",NA,0
"172","Beedle the Bard","Author of several wizarding fairy tales including The Tale of the Three Brothers","",NA,0
