"","Character_Name","Description","Notes"
"63","Astoria Greengrass","Draco Malfoy's wife","She died in 2019 due to her blood curse.[12] She is three years younger than Draco, and the younger sister of one of Draco's classmates from Slytherin. She is played by Jade Gordon in Harry Potter and the Deathly Hallows – Part 2."
"64","Gregorovitch","highly regarded Eastern European wandmaker",""
"65","Fenrir Greyback","Werewolf working for the Death Eaters",""
"66","Gellert Grindelwald (/ˈɡrɪndəlˌvɔːld, -ˌwɔːld/)","Dark wizard who was jailed after Albus Dumbledore defeated him in the 1940s","Rowling claimed at a Q&A session that she implied Dumbledore being once in love with Grindelwald, and thus he had 'lost his moral compass,' but she did not say whether those feelings were returned.[13][14] In Harry Potter and the Deathly Hallows – Part 1, young Grindelwald is portrayed by Jamie Campbell Bower[15] while the older Grindelwald is played by Michael Byrne. Grindelwald appears in the Fantastic Beasts film series, portrayed by Johnny Depp in the first two films.[16] In the film series storyline, Grindelwald and Dumbledore have made a blood pact in their youth to never harm each other which Grindelwald sports in a vial while seeking a means to indirectly kill his former lover. He first appears in Fantastic Beasts and Where to Find Them, though he is disguised for most of the story as the American Auror Percival Graves, played by Colin Farrell, while seeking out an Obscurus whom he learned to be Credence Barebone. In Fantastic Beasts: The Crimes of Grindelwald, Grindelwald manages to manipulate both Credence and Queenie Goldstein to his side by promising the former he will tell him who he really is (supposedly Aurelius Dumbledore, a long lost brother to Albus and Aberforth) and the latter that she will be free to marry her No-Maj fiancé, Jacob Kowalski. Campbell Bower reprises his role as the teenaged version of the character in a brief flashback scene as well. In November 2020, Depp resigned from the role at the request of Warner Bros. due to his personal legal troubles.[17] Later that month, it was reported that Mads Mikkelsen was in early talks to replace Depp as Grindelwald for the third film.[18] On 25 November 2020, Warner Bros. officially announced that Mikkelsen would replace Depp.[19] On replacing Depp, Mikkelsen noted that it would be a ""creative suicide"" to copy Depp's ""masterful"" portrayal as Grindelwald, having developed his own take on the character, and admitted that a ""bridge"" should be needed between Depp's performance and his own,[20] having been a fan of Depp since his early films.[21]"
"67","Wilhelmina Grubbly-Plank","Substitute Care of Magical Creatures professor during Harry's fourth and fifth years",""
"68","Godric Gryffindor","One of the four founders of Hogwarts","He was a very powerful wizard.H"
"69","Rubeus Hagrid","Half-giant Hogwarts gamekeeper, and Care of Magical Creatures professor starting in Harry's third year","Member of the Order of the Phoenix. As a Hogwarts student, he was expelled in his third year."
"70","Rolanda Hooch","Hogwarts flying instructor and Quidditch referee",""
"71","Mafalda Hopkirk","Witch who works in the Ministry of Magic","Impersonated by Hermione Granger."
"72","Angelina Johnson","Gryffindor student two years above Harry","Quidditch Chaser and later team captain."
"73","Lee Jordan","Gryffindor student two years above Harry","Hogwarts Quidditch commentator and good friend of Fred and George Weasley."
"74","Bertha Jorkins","Ministry of Magic employee that worked under the Department of Magical Games and Sports","Killed by Voldemort in order to create Nagini as the last horcrux.K"
"75","Igor Karkaroff","Reformed Death Eater","Headmaster of wizarding school Durmstrang."
"76","Viktor Krum","Bulgarian Quidditch Seeker and Durmstrang student who participated in the Triwizard Tournament","Stanislav Ianevski portrayed Krum in the film adaptation of Goblet of Fire."
"77","Silvanus Kettleburn","Care of Magical Creatures teacher until Harry's third year","L"
"78","Bellatrix Lestrange","Cousin of Sirius Black","Death Eater who tortured Neville Longbottom's parents Frank and Alice into insanity. Killed by Molly Weasley during the Battle of Hogwarts."
"79","Gilderoy Lockhart","Fraudulent celebrity author and Defence Against the Dark Arts teacher","Lost his memory after a memory charm backfired and resided in St. Mungo's afterwards."
"80","Alice and Frank Longbottom","Neville Longbottom's parents","Aurors and members of the original Order of the Phoenix. Tortured into insanity by Bellatrix Lestrange."
"81","Augusta Longbottom","Frank's mother and Neville's grandmother, who raises him after his parents are incapacitated","Augusta is portrayed by Leila Hoffman in the first film, appearing only in the background escorting Neville to the Hogwarts Express."
"82","Neville Longbottom","Gryffindor student in Harry's year","Member of Dumbledore's Army."
"83","Luna Lovegood","Xenophilius Lovegood's daughter and Ravenclaw student one year below Harry","Member of Dumbledore's Army and wife of Newt Scamander's grandson Rolf."
"84","Xenophilius Lovegood","Luna's father","Editor of tabloid magazine The Quibbler. In Greek, his name means ""one who likes that which is strange"" (xeno meaning ""strange"" and philo meaning ""liking"" or ""fondness"").[22] Welsh actor and singer Rhys Ifans portrays Xenophilius in the film adaptation of Harry Potter and the Deathly Hallows – Part 1."
"85","Remus Lupin","Lycanthropic Gryffindor student before Harry's time who befriended Sirius Black and James Potter","Professor of Defence Against the Dark Arts in Harry's third year, and member of the Order of the Phoenix. He and his wife Nymphadora Tonks gave birth to a son, Teddy, before dying in the Battle of Hogwarts."
"86","Teddy Lupin","orphaned only son of Remus Lupin and Nymphadora Tonks and godson of Harry Potter","He is named after Tonks' late father, Ted Tonks, and his own father, Remus. Teddy is a Metamorphmagus like his mother Nymphadora, and is not affected by his father's lycanthropy.[23][24] He is mentioned in the final chapter of Harry Potter and the Deathly Hallows by Harry, who says that Teddy ""comes round to dinner about four times a week"".M"
"87","Walden Macnair","Death Eater and Committee of Disposal of Dangerous Creatures' executioner","Injured badly by Hagrid during the Battle of Hogwarts."
"88","Draco Malfoy","Slytherin student in Harry's year","Quidditch Seeker, prefect, and member of the Inquisitorial Squad."
"89","Lucius Malfoy","Draco's father and an influential Death Eater","Governor of Hogwarts early in the series."
"90","Narcissa Malfoy","Lucius' wife and Draco's mother","Sister of Bellatrix Lestrange and Andromeda Tonks. Narcissa is portrayed by Helen McCrory in the film series. McCrory was initially cast as Bellatrix Lestrange, but withdrew due to pregnancy; the role of Bellatrix went to Helena Bonham Carter."
"91","Scorpius Malfoy","Son of Draco Malfoy and Astoria Greengrass","Sorted into Slytherin. Friends with Albus Potter. He is a kind-hearted boy who likes sweets and does not discriminate against non-pure-blood wizards.[12]"
"92","Madam Malkin","Clothing shop owner in Diagon Alley",""
"93","Griselda Marchbanks","Governor of the Wizarding Examinations Authority which ran the O","W.L, N.E.W.T., and W.O.M.B.A.T. exams. Wizengamot elder."
"94","Olympe Maxime","Half-giantess","Headmistress of Beauxbatons. Frances de la Tour appeared as Madame Maxime in Goblet of Fire, and reprised the role in Deathly Hallows.[25]"
"95","Ernie Macmillan","Hufflepuff student in Harry's year","Prefect and member of Dumbledore's Army."
"96","Minerva McGonagall","Hogwarts Transfiguration professor, Head of Gryffindor House, Deputy Headmistress of Hogwarts, and member of the Order of the Phoenix","Assumes position of Hogwarts Headmaster for a time after Voldemort's death."
"97","Eloise Midgen","Gryffindor student that accidentally removed her nose trying to get rid of her acne","Known for her bad case of acne."
"98","Cormac McLaggen","Gryffindor student one year above Harry Potter","Quidditch Keeper and member of Horace Slughorn's Slug Club. Freddie Stroma played McLaggen in Harry Potter and the Half-Blood Prince, Harry Potter and the Deathly Hallows – Part 1 and Part 2."
"99","Graham Montague","Slytherin Quidditch Chaser who became trapped inside a Vanishing Cabinet for a day",""
"100","Alastor ""Mad-Eye"" Moody","Retired Auror and member of the Order of the Phoenix","Impersonated by Barty Crouch Jr. in his scheme to enter Harry into the Triwizard Tournament. Killed by Voldemort.N"
"101","Theodore Nott","Slytherin student in the same year as Harry Potter, and son of a Death Eater",""
"102","Nott Sr","Theodore Nott's father","Death Eater.O"
"103","Bob Ogden","Leader of the Department of Magical Law Enforcement Squad in the 1920s","Turned the Gaunt family over to the Wizengamot for using magic in front of a Muggle. Died before Harry Potter's sixth year."
"104","Garrick Ollivander","Wandmaker and owner of the Ollivanders wand shop","Kidnapped by the Malfoy family for several months until freed by Harry, Ron, and Hermione. British actor John Hurt appeared as Ollivander in the film adaptation of Harry Potter and the Philosopher's Stone and reprised his role in Harry Potter and the Deathly Hallows – Part 1 and Part 2. His first name was revealed in Pottermore. It was also revealed that he is married and has a son and a daughter (the latter deceased). Some of the names of his wandmaker ancestors were also revealed: Geraint Ollivander (ancestor), Gerbold Octavius Ollivander (paternal grandfather), Gervaise Ollivander (father).P"
"105","Pansy Parkinson","Slytherin student in Harry's year","Prefect and member of the Inquisitorial Squad. Rowling said the character was based on real-life girls who teased her during her school days.[26]"
"106","Padma Patil","Ravenclaw student in Harry's year","Identical twin sister of Gryffindor student Parvati Patil, and a member of Dumbledore's Army."
"107","Parvati Patil","Gryffindor student in Harry's year and Padma's identical twin sister","Member of Dumbledore's Army."
"108","Peter Pettigrew","Death Eater and former school friend of James Potter, Sirius Black and Remus Lupin","Betrays Harry's parents James and Lily Potter to Voldemort, resulting in their deaths. Pettigrew is first introduced in the series as Ron Weasley's pet rat Scabbers. He is strangled to death by his own metal prosthetic hand after his loyalty towards Voldemort wavers upon Harry confronting him about having previously spared Pettigrew's life."
"109","Antioch, Cadmus, and Ignotus Peverell","Three brothers who were the original owners of the Elder Wand, the Resurrection Stone, and the Invisibility Cloak, respectively",""
"110","Irma Pince","Hogwarts librarian",""
"111","Sturgis Podmore","Member of the Order of the Phoenix",""
"112","Poppy Pomfrey","Hogwarts school nurse",""
"113","Harry Potter","The main character of the series","Orphaned son of James and Lily Potter. Gryffindor student at Hogwarts, and co-founder and first leader of Dumbledore's Army. The husband of Ginny Weasley, father of James Sirius, Albus Severus and Lily Luna Potter."
"114","James Potter","Harry Potter's father and member of the Order of the Phoenix","Killed along with his wife Lily by Lord Voldemort prior to the start of the series."
"115","Lily Potter","Harry Potter's mother and member of the Order of the Phoenix","Killed by Lord Voldemort."
"116","Albus Severus Potter","Second child of Harry Potter and Ginny Weasley",""
"117","James Sirius Potter","Harry and Ginny's first child",""
"118","Lily Luna Potter","Harry and Ginny's third child","Her name honours two women important to her parents—her paternal grandmother Lily Potter, and her parents' friend Luna Lovegood.[27] Lily is portrayed by Daphne de Beistegui in Harry Potter and the Deathly Hallows – Part 2."
"119","Quirinus Quirrell","Defence Against the Dark Arts professor in Harry Potter's first year","Possessed by Lord Voldemort.R"
"120","Helena Ravenclaw/The Grey Lady","Daughter of house founder Rowena Ravenclaw","Stole and hid her mother's diadem, and became Ravenclaw's house ghost after being killed by the Bloody Baron."
"121","Rowena Ravenclaw","One of the four founders of Hogwarts School of Witchcraft and Wizardry, and founder of the Ravenclaw house",""
"122","Delphi Riddle","The main antagonist of Harry Potter and the Cursed Child and daughter of Voldemort and Bellatrix Lestrange who tries to bring Voldemort back to life by completing a prophecy","Currently imprisoned in Azkaban."
"123","Mary Riddle","Muggle wife of Thomas Riddle, mother of Tom Riddle Sr","and grandmother of Tom Marvolo Riddle/Lord Voldemort. Killed by her grandson, Lord Voldemort."
"124","Thomas Riddle","Muggle husband of Mary Riddle, father of Tom Riddle Sr","and grandfather of Tom Marvolo Riddle/Lord Voldemort. Killed by his grandson Lord Voldemort."
"125","Tom Riddle Sr.","Muggle son of Thomas and Mary Riddle, husband of Merope Gaunt and father of Tom Marvolo Riddle/Lord Voldemort Killed by his son, Lord Voldemort",""
"126","Tom Marvolo Riddle","Slytherin student who became Lord Voldemort",""
"127","Demelza Robins","Gryffindor student and Quidditch Chaser",""
"128","Augustus Rookwood","Death Eater and spy working in the Department of Mysteries",""
"129","Thorfinn Rowle","Death Eater",""
"130","Albert Runcorn","Ministry of Magic employee whose chief function was as an investigator of alleged Muggle-borns","S"
"131","Newt Scamander","Magizoologist and author of Fantastic Beasts and Where to Find Them","Main character in the Fantastic Beasts film series. Expelled Hogwarts student who excels in curing different sicknesses."
"132","Rufus Scrimgeour","Head of the Auror Office who replaces Cornelius Fudge as Minister for Magic","Killed by Death Eaters."
"133","Kingsley Shacklebolt","Auror and member of the Order of the Phoenix","Replaces Pius Thicknesse as Minister for Magic."
"134","Stan Shunpike","Conductor of the triple-decker Knight Bus","Jailed in Azkaban on suspicions of being a Death Eater. Stan was portrayed by Lee Ingleby in the film adaptation of Prisoner of Azkaban."
"135","Aurora Sinistra","Astronomy professor at Hogwarts",""
"136","Rita Skeeter","Reporter and tabloid journalist for the Daily Prophet","It has been speculated that the fraught relationship between Rowling and the press was the inspiration for the author to develop the character. However, Rowling noted in 2000 that the character actually predates her rise to fame.[28] Rita was intended to be in Philosopher's Stone, as Rowling revealed in an interview: ""you know when Harry walks into the Leaky Cauldron for the first time and everyone says, ""Mr. Potter you're back!"", I wanted to put a journalist in there. She wasn't called Rita then but she was a woman. And then I thought, as I looked at the plot overall, I thought, that's not really where she fits best, she fits best in Four when Harry's supposed to come to terms with his fame"".[29]Miranda Richardson appeared as Rita in the film adaptation of Goblet of Fire as well as in Deathly Hallows.[30]"
"137","Horace Slughorn","Former Hogwarts Potions professor and Head of Slytherin House, whose charges included Tom Riddle","Returned to Hogwarts to teach Potions in Harry's sixth year."
"138","Salazar Slytherin","One of the four founders of Hogwarts School of Witchcraft and Wizardry, and founder of the Slytherin house",""
"139","Zacharias Smith","Hufflepuff Quidditch Chaser in Harry's year","Member of Dumbledore's Army."
"140","Severus Snape","Potions and later Defence Against the Dark Arts professor at Hogwarts","Head of Slytherin House, and member of both the Death Eaters and the Order of the Phoenix as a double agent spying for Dumbledore."
"141","Alicia Spinnet","Gryffindor student two years above Harry","Quidditch Chaser and member of Dumbledore's Army."
"142","Pomona Sprout","Hogwarts Herbology professor and Head of Hufflepuff House","T"
"143","Pius Thicknesse","Minister for Magic while under the Imperius Curse","Replaced by Kingsley Shacklebolt."
"144","Dean Thomas","Gryffindor student in Harry's year","Member of Dumbledore's Army."
"145","Andromeda Tonks","Sister of Bellatrix Lestrange and Narcissa Malfoy, and the mother of Nymphadora Tonks","Disowned by her family for marrying Muggle-born Ted Tonks."
"146","Nymphadora Tonks","Ted and Andromeda's daughter","Auror and member of the Order of the Phoenix. She marries Remus Lupin and becomes the mother of a son, Teddy, before she and Remus are killed in the Battle of Hogwarts."
"147","Ted Tonks","Andromeda's Muggle-born husband, and the father of Nymphadora Tonks","Killed by Snatchers."
"148","Sybill Trelawney","Hogwarts Divination professor","Predicted the prophecy that prompted Lord Voldemort to go after the Potters."
"149","Wilkie Twycross","Hogwarts Apparition instructor who works in the Department of Magical Transportation","U"
"150","Dolores Umbridge","Senior Undersecretary to the Minister for Magic, Hogwarts High Inquisitor and temporary Headmistress of Hogwarts","She becomes Defence Against the Dark Arts professor in Harry Potter's fifth year, and joins in the persecution of half-bloods and Muggle-borns under Voldemort. Sentenced to life imprisonment in Azkaban.V"
"151","Emmeline Vance","Member of the Order of the Phoenix","Killed by Death Eaters."
"152","Romilda Vane","Gryffindor student who unsuccessfully tries to romance Harry",""
"153","Septima Vector","Arithmancy professor at Hogwarts",""
"154","Lord Voldemort (Tom Marvolo Riddle)","The villain of the series","Murderer of Harry Potter's parents and many others in his quest for immortality and absolute power.W"
"155","Myrtle Warren/Moaning Myrtle[31]","Muggle-born Ravenclaw student during Tom Riddle's time at Hogwarts","Killed by the Basilisk in a girls' bathroom, which she continued to haunt after her death. Tom Riddle used her death to create his first Horcrux: his diary.[4] Rowling revealed on her website that Myrtle was in Ravenclaw House[32] and that her full name was Myrtle Elizabeth Warren.[33] She added that the inspiration for the character was ""the frequent presence of a crying girl in communal bathrooms, especially at the parties and discos of my youth.""[34]Shirley Henderson plays Myrtle in the film versions of Chamber of Secrets and Goblet of Fire. The character was omitted from Half-Blood Prince."
"156","Arthur Weasley","Muggle-obsessed Ministry of Magic employee, and member of the Order of the Phoenix","Husband of Molly Weasley, father of Bill, Charlie, Percy, Fred, George, Ron, and Ginny Weasley."
"157","Bill Weasley","Oldest son of Arthur and Molly Weasley, and Gringotts employee","Marries Fleur Delacour."
"158","Charlie Weasley","Second son of Arthur and Molly Weasley","Member of the Order of the Phoenix. Works with dragons in Romania."
"159","Fred Weasley","Son of Arthur and Molly Weasley and identical twin brother of George Weasley","Gryffindor Quidditch Beater and member of Dumbledore's Army, later co-owner of joke shop Weasleys' Wizard Wheezes. Killed in the Battle of Hogwarts."
"160","George Weasley","Son of Arthur and Molly Weasley and identical twin brother of Fred Weasley","Gryffindor Quidditch Beater and member of Dumbledore's Army. Co-owner of Weasleys' Wizard Wheezes. Marries Angelina Johnson."
"161","Ginny Weasley","Only daughter and youngest child of Arthur and Molly Weasley","Gryffindor student one year below Harry, Quidditch Seeker and Chaser, and member of Dumbledore's Army. Married to Harry Potter."
"162","Hugo Granger-Weasley– Son of Ron Weasley and Hermione Granger, brother of Rose Weasley. Hugo is portrayed by Ryan Turner in Deathly Hallows","Part 2",""
"163","Molly Weasley","Wife of Arthur Weasley and mother of Bill, Charlie, Percy, Fred, George, Ron, and Ginny","Member of the Order of the Phoenix."
"164","Percy Weasley","Third son of Arthur and Molly Weasley","Gryffindor prefect and Head Boy, then Ministry of Magic employee, during which he becomes estranged from his family before joining them in fighting the Death Eaters in the Battle of Hogwarts."
"165","Ron Weasley","Youngest son of Arthur and Molly Weasley who is best friends with Harry Potter and Hermione Granger","Gryffindor Quidditch Keeper, prefect, and co-founder of Dumbledore's Army."
"166","Oliver Wood","Gryffindor Quidditch Keeper and captain four years above Harry","Oliver Wood was portrayed by Sean Biggerstaff in the first two films and once again in the eighth film."
"167","Rose Granger-Weasley","Daughter of Ron Weasley and Hermione Granger","Sister of Hugo Weasley. Rose is portrayed by Helena Barlow in Harry Potter and the Deathly Hallows – Part 2. She also featured in Harry Potter and the Cursed Child; she has been played in the West End production by Cherrelle Skeete and Helen Aluko.Y"
"168","Corban Yaxley","Death Eater","Head of Magical Law Enforcement under Voldemort's regime.Z"
"169","Blaise Zabini","Slytherin student in Harry's year",NA
